Post Url,Likes,"Comments,collections",shares,Views,Post Date,selfkoc,video_id
https://www.tiktok.com/@eeds1u/video/7480378620847082798,0,0,0,15,2025-03-11,@eeds1u,7480378620847082798
https://www.tiktok.com/@ironease8/video/7480377443270888746,11,0,0,572,2025-03-11,@ironease8,7480377443270888746
https://www.tiktok.com/@obadia.goodman/video/7480376416362646827,17,0,1,237,2025-03-11,@obadia.goodman,7480376416362646827
https://www.tiktok.com/@alardo.richter/video/7480367516334853422,2,0,0,144,2025-03-11,@alardo.richter,7480367516334853422
https://www.tiktok.com/@iciarykrr18/video/7480367530662530346,11,0,0,761,2025-03-11,@iciarykrr18,7480367530662530346
https://www.tiktok.com/@dug20315fpo/video/7480366003327700266,1,0,0,109,2025-03-11,@dug20315fpo,7480366003327700266
https://www.tiktok.com/@eeds1u/video/7480215625504345390,14,0,1,1167,2025-03-11,@eeds1u,7480215625504345390
https://www.tiktok.com/@ironease8/video/7480216234747809067,12,0,1,973,2025-03-11,@ironease8,7480216234747809067
https://www.tiktok.com/@obadia.goodman/video/7479820357554228522,47,0,0,6,2025-03-11,@obadia.goodman,7479820357554228522
https://www.tiktok.com/@demps.8i/video/7480374074519113002,8,0,0,600,2025-03-11,@demps.8i,7480374074519113002
https://www.tiktok.com/@demps.8i/video/7480216827398720810,28,0,0,1519,2025-03-11,@demps.8i,7480216827398720810
https://www.tiktok.com/@eeds1g/video/7480367531157589294,2,0,0,142,2025-03-11,@eeds1g,7480367531157589294
https://www.tiktok.com/@alardo.richter/video/7480201375851531566,25,0,1,1093,2025-03-10,@alardo.richter,7480201375851531566
https://www.tiktok.com/@iciarykrr18/video/7480201523494915371,17,0,0,1137,2025-03-10,@iciarykrr18,7480201523494915371
https://www.tiktok.com/@dug20315fpo/video/7480201502129229102,8,0,0,708,2025-03-10,@dug20315fpo,7480201502129229102
https://www.tiktok.com/@dalmixqgivy/video/7480145854855302446,2,0,0,3108,2025-03-10,@dalmixqgivy,7480145854855302446
https://www.tiktok.com/@neakasamagic1/video/7480147085015272750,7,0,1,461,2025-03-10,@neakasamagic1,7480147085015272750
https://www.tiktok.com/@eeds1g/video/7480201665497337130,20,1,2,1103,2025-03-10,@eeds1g,7480201665497337130
https://www.tiktok.com/@eeds1g/video/7479806712875109678,20,0,0,973,2025-03-10,@eeds1g,7479806712875109678
https://www.tiktok.com/@ironease8/video/7479820361509440811,18,0,0,1071,2025-03-10,@ironease8,7479820361509440811
https://www.tiktok.com/@eeds1u/video/7479820120957750571,29,1,2,1013,2025-03-10,@eeds1u,7479820120957750571
