Post Url,Likes,Comments,Views,Post Date,selfkoc,video_id
https://www.youtube.com//shorts/CeDoU2_rZ3c,16,0,674,2025-02-26,@LamontMears,CeDoU2_rZ3c
https://www.youtube.com//shorts/7vsVzgVuFs0,3,0,293,2025-02-26,@JasonGarrison-u8s,7vsVzgVuFs0
https://www.youtube.com//shorts/yNcjNs2lFV4,4,0,420,2025-02-26,@ChristopherPerez-f3r,yNcjNs2lFV4
https://www.youtube.com//shorts/Xd5wBGw5-_U,7,0,343,2025-02-25,@AlardoRichter,Xd5wBGw5-_U
https://www.youtube.com//shorts/LRpAM1i7OFg,2,0,408,2025-02-25,@ParrisWoods-r7x,LRpAM1i7OFg
https://www.youtube.com//shorts/OcmQkbH9oF8,5,0,416,2025-02-25,@MelissaBailey-b9c,OcmQkbH9oF8
https://www.youtube.com//shorts/UkGeq_D7FA0,5,0,426,2025-02-25,@JasonGarrison-u8s,UkGeq_D7FA0
https://www.youtube.com//shorts/hTXok3gCkmI,6,0,445,2025-02-25,@ChristopherPerez-f3r,hTXok3gCkmI
https://www.youtube.com//shorts/QPVdrEIYvqM,7,,453,2025-03-05,@AlardoRichter,QPVdrEIYvqM
https://www.youtube.com//shorts/AZQYzVrRVHA,4,,459,2025-03-05,@AlardoRichter,AZQYzVrRVHA
https://www.youtube.com//shorts/nRV9rojzZpY,15,,423,2025-03-05,@AlardoRichter,nRV9rojzZpY
https://www.youtube.com//shorts/-ed27ttvWVU,5,,409,2025-03-05,@AlardoRichter,-ed27ttvWVU
https://www.youtube.com//shorts/994TLz1A_7U,12,,514,2025-03-05,@AlardoRichter,994TLz1A_7U
https://www.youtube.com//shorts/WguhisfKUnI,8,,425,2025-03-05,@AlardoRichter,WguhisfKUnI
https://www.youtube.com//shorts/5cuzxTTD3kY,9,,524,2025-03-04,@AlardoRichter,5cuzxTTD3kY
https://www.youtube.com//shorts/hJaskOPl_Sw,4,,523,2025-03-04,@AlardoRichter,hJaskOPl_Sw
https://www.youtube.com//shorts/Y9UWXjgb78Q,26,,646,2025-03-04,@AlardoRichter,Y9UWXjgb78Q
https://www.youtube.com//shorts/CEBw9y1nq5M,10,,784,2025-03-04,@AlardoRichter,CEBw9y1nq5M
