kol_video_id,kol_title,kol_views,kol_likes,kol_comments,kol_video_url,,,
7475094904625000000 ,"If you have noticed this behavior,don't stress-this is totally normal and instinctual.  Here's why: Instincts allow the mum/dam to carry her pups to keep them safe, moving them to a secure spot if they sense any danger or harm. #whelping #whelpingpuppies #dogs #puppies #puppycare #education #educative#rottweiler ",11792585,141788,3010,https://www.tiktok.com/@Purpose🐶/video/7475094904625007878,,,
7496879837261330000 ,#ad Gear used ⬇️ @insta360_official new X5 camera +Insta360 bullet time accessory + electronic suction cup  #bullettime #insta360 #insta360x5 ,11555234,308722,400,https://www.tiktok.com/@Georgy Romelashvili/video/7496879837261335830,,,
7449950611254150000 ,"The $20 was just in the wrong spot , it was the correct amount! But always look ! #casino #money #winning #fun #fyp #addict #life #bloopers ",10422333,625510,1436,https://www.tiktok.com/@DancingMichelle/video/7449950611254152491,,,
7492895982141600000 ,Don’t let JBL see this… #bluetoothspeaker #song #tiktokmademebuyit ,9974102,537111,1103,https://www.tiktok.com/@VibeBounce🔊/video/7492895982141607190,,,
7470655856183490000 ,New Meeting Spot 🍇🐒 #foryou #funnyanimals #animals #voiceover ,9500308,895059,5667,https://www.tiktok.com/@Tristan Maloney/video/7470655856183495979,,,
7486546333298380000 ,iPhone 17 lineup has been leaked!?  A lot of you have been DMing me about the new leaks for the next gen iPhone 17. Here's everything we know:  - iPhone 17 Pro/Pro Max will have a new visor/two tone design - iPhone 17 Air will REPLACE the iPhone 16 Plus. Will be 5.5mm thin and have one 📸  - 'standard' 17 will look very similar to the 16. 120Hz display and 24MP front facing camera updated across th,9218736,197864,6049,https://www.tiktok.com/@karlconrad/video/7486546333298380038,,,
7454498731170200000 ,360° World🌍 #Insta360X4 #Insta360 #Insta360Thailand,9030614,77113,520,https://www.tiktok.com/@ประกายไปกัน/video/7454498731170204936,,,
7495728148957480000 ,#eufyvacuum #eufyomnic20 #eufy #eufyclean #eufyc20 #robotcleaner #mopvaccum #robot #robotcleaner #robotvacuumcleaner #clean #room #tiktokmademebuyit #eufyc20 #robot #robotvacuum ,8634180,87271,401,https://www.tiktok.com/@jackterry51/video/7495728148957482271,,,
7440222179112860000 ,#headphones #Miniso #minisoheadphones #x28 #overtheearheadphones #translationearbuds #earbuds ,8529990,55009,981,https://www.tiktok.com/@TechWithBryce/video/7440222179112865054,,,
7433750999031970000 ,I'd quit on the spot 💀 (🎥: @ericwinter76) #ladbible #funnyvideos😂 #pranksoftiktok #chickendanceprank,8488169,140049,4724,https://www.tiktok.com/@LADbible/video/7433750999031975201,,,
