selfkoc_post_url,Likes,Comments,Shares,Post Date,selfkoc_account,video_id
https://www.tiktok.com/@hunterezkj8/video/7495959535014694174,28,1,5,4/22/2025,@hunterezkj8,7495959535014694174
https://www.tiktok.com/@lf6ai8wvknt/video/7495959612135378219,18,0,4,4/22/2025,@lf6ai8wvknt,7495959612135378219
https://www.tiktok.com/@schechter.denney/video/7495959237999332651,9,0,1,4/22/2025,@schechter.denney,7495959237999332651
https://www.tiktok.com/@maesftuijv6/video/7495959410041179422,78,1,8,4/22/2025,@maesftuijv6,7495959410041179422
https://www.tiktok.com/@twi662/video/7495959539569790250,71,1,8,4/22/2025,@twi662,7495959539569790250
https://www.tiktok.com/@twi662/video/7495589655455501614,18,1,1,4/21/2025,@twi662,7495589655455501614
https://www.tiktok.com/@lucky.ley6/video/7495750621149072671,4,0,0,4/21/2025,@lucky.ley6,7495750621149072671
https://www.tiktok.com/@lucky.ley6/video/7495431423038426399,16,1,2,4/21/2025,@lucky.ley6,7495431423038426399
https://www.tiktok.com/@maesftuijv6/video/7495589667346124062,20,0,4,4/21/2025,@maesftuijv6,7495589667346124062
https://www.tiktok.com/@schechter.denney/video/7495589565441396011,0,0,0,4/21/2025,@schechter.denney,7495589565441396011
https://www.tiktok.com/@lf6ai8wvknt/video/7495589552363506990,17,0,1,4/21/2025,@lf6ai8wvknt,7495589552363506990
https://www.tiktok.com/@hunterezkj8/video/7495589524580388126,19,0,0,4/21/2025,@hunterezkj8,7495589524580388126
https://www.tiktok.com/@leesan007/video/7495392859567312159,24,0,3,4/20/2025,@leesan007,7495392859567312159
https://www.tiktok.com/@raynesosa/video/7495392945269378350,15,0,1,4/20/2025,@raynesosa,7495392945269378350
https://www.tiktok.com/@nellietucker0/video/7495393213281471790,1,0,0,4/20/2025,@nellietucker0,7495393213281471790
https://www.tiktok.com/@marleycampbell5/video/7495392858594118958,33,0,3,4/20/2025,@marleycampbell5,7495392858594118958
https://www.tiktok.com/@sagehall0/video/7495393250296188206,1,0,0,4/20/2025,@sagehall0,7495393250296188206
https://www.tiktok.com/@hunterezkj8/video/7495039342893698335,430,6,158,4/20/2025,@hunterezkj8,7495039342893698335
https://www.tiktok.com/@lf6ai8wvknt/video/7495039307724442923,624,9,182,4/20/2025,@lf6ai8wvknt,7495039307724442923
https://www.tiktok.com/@schechter.denney/video/7495039288682433838,15,0,3,4/20/2025,@schechter.denney,7495039288682433838
https://www.tiktok.com/@maesftuijv6/video/7495039327857167646,3,0,0,4/20/2025,@maesftuijv6,7495039327857167646
https://www.tiktok.com/@lucky.ley6/video/7495272436292685086,10,0,2,4/20/2025,@lucky.ley6,7495272436292685086
https://www.tiktok.com/@twi662/video/7495039339580394798,3,0,0,4/20/2025,@twi662,7495039339580394798
https://www.tiktok.com/@sagehall0/video/7494610713001053486,45,0,0,4/18/2025,@sagehall0,7494610713001053486
https://www.tiktok.com/@sagehall0/video/7494275919981432106,7,0,1,4/18/2025,@sagehall0,7494275919981432106
https://www.tiktok.com/@marleycampbell5/video/7494610831469071662,40,0,3,4/18/2025,@marleycampbell5,7494610831469071662
https://www.tiktok.com/@marleycampbell5/video/7494278339738275118,28,0,0,4/18/2025,@marleycampbell5,7494278339738275118
https://www.tiktok.com/@nellietucker0/video/7494610819397831982,2,0,0,4/18/2025,@nellietucker0,7494610819397831982
https://www.tiktok.com/@nellietucker0/video/7494275871059266862,6,0,1,4/18/2025,@nellietucker0,7494275871059266862
https://www.tiktok.com/@raynesosa/video/7494611290627820846,42,0,1,4/18/2025,@raynesosa,7494611290627820846
https://www.tiktok.com/@raynesosa/video/7494278181990567210,18,0,1,4/18/2025,@raynesosa,7494278181990567210
https://www.tiktok.com/@leesan007/video/7494278224843754782,9,0,1,4/18/2025,@leesan007,7494278224843754782
https://www.tiktok.com/@hunterezkj8/video/7494284397940624671,43,1,14,4/18/2025,@hunterezkj8,7494284397940624671
https://www.tiktok.com/@lf6ai8wvknt/video/7494284343762816302,17,1,3,4/18/2025,@lf6ai8wvknt,7494284343762816302
https://www.tiktok.com/@schechter.denney/video/7494284400322956586,16,0,5,4/18/2025,@schechter.denney,7494284400322956586
https://www.tiktok.com/@maesftuijv6/video/7494284397219187999,25,1,6,4/18/2025,@maesftuijv6,7494284397219187999
https://www.tiktok.com/@lucky.ley6/video/7494477835118169374,1,0,0,4/18/2025,@lucky.ley6,7494477835118169374
https://www.tiktok.com/@twi662/video/7494284313958223150,17,1,1,4/18/2025,@twi662,7494284313958223150
https://www.tiktok.com/@sagehall0/video/7493936206107987246,24,0,2,4/17/2025,@sagehall0,7493936206107987246
https://www.tiktok.com/@marleycampbell5/video/7493936301532564778,13,0,1,4/17/2025,@marleycampbell5,7493936301532564778
https://www.tiktok.com/@nellietucker0/video/7493936629241974058,1,0,0,4/17/2025,@nellietucker0,7493936629241974058
https://www.tiktok.com/@raynesosa/video/7493935278630047022,12,0,2,4/17/2025,@raynesosa,7493935278630047022
https://www.tiktok.com/@leesan007/video/7493936648082705694,26,0,4,4/17/2025,@leesan007,7493936648082705694
https://www.tiktok.com/@hunterezkj8/video/7493915135916936479,5,1,0,4/17/2025,@hunterezkj8,7493915135916936479
https://www.tiktok.com/@lf6ai8wvknt/video/7493915109681679659,21,2,3,4/17/2025,@lf6ai8wvknt,7493915109681679659
https://www.tiktok.com/@schechter.denney/video/7493915041549421870,14,0,1,4/17/2025,@schechter.denney,7493915041549421870
https://www.tiktok.com/@maesftuijv6/video/7493915072775867678,11,0,2,4/17/2025,@maesftuijv6,7493915072775867678
https://www.tiktok.com/@lucky.ley6/video/7494273258393488671,8,1,0,4/17/2025,@lucky.ley6,7494273258393488671
https://www.tiktok.com/@lucky.ley6/video/7493917443723775274,3,0,1,4/17/2025,@lucky.ley6,7493917443723775274
https://www.tiktok.com/@twi662/video/7493915078417419566,10,1,2,4/17/2025,@twi662,7493915078417419566
https://www.tiktok.com/@sagehall0/video/7493580789389511979,3,0,0,4/16/2025,@sagehall0,7493580789389511979
https://www.tiktok.com/@marleycampbell5/video/7493581425107635498,17,0,5,4/16/2025,@marleycampbell5,7493581425107635498
https://www.tiktok.com/@nellietucker0/video/7493581293612043563,16,0,1,4/16/2025,@nellietucker0,7493581293612043563
https://www.tiktok.com/@raynesosa/video/7493580732259110190,35,1,2,4/16/2025,@raynesosa,7493580732259110190
https://www.tiktok.com/@leesan007/video/7493581411484454175,1,0,0,4/16/2025,@leesan007,7493581411484454175
https://www.tiktok.com/@hunterezkj8/video/7493549025443040542,19,2,4,4/16/2025,@hunterezkj8,7493549025443040542
https://www.tiktok.com/@lf6ai8wvknt/video/7493549035693985070,6,1,0,4/16/2025,@lf6ai8wvknt,7493549035693985070
https://www.tiktok.com/@schechter.denney/video/7493548982510046507,20,0,3,4/16/2025,@schechter.denney,7493548982510046507
