selfkoc_post_url,Likes,Comments,Views,Post Date,selfkoc_account,video_id
https://www.youtube.com//shorts/TbVE48F7pQA,131,0,13000,3/29/2025,@alpechahunter,TbVE48F7pQA
https://www.youtube.com//shorts/KsUmvD5vAHo,151,1,15000,3/29/2025,@haydeeprovazek,KsUmvD5vAHo
https://www.youtube.com//shorts/s20-PEqYEkA,10,0,1919,3/29/2025,@baobo-k6h,s20-PEqYEkA
https://www.youtube.com//shorts/pl-Xbw2H7c8,86,2,11000,3/29/2025,@annunziata-y6u,pl-Xbw2H7c8
https://www.youtube.com//shorts/yQT1SFkd2LQ,104,0,15000,3/29/2025,@barmanpsicologa,yQT1SFkd2LQ
https://www.youtube.com//shorts/GTJbjFDIj7g,125,0,15000,3/28/2025,@emilie-s7q,GTJbjFDIj7g
https://www.youtube.com//shorts/6oXxKk2XNpI,83,0,9016,3/27/2025,@emilie-s7q,6oXxKk2XNpI
https://www.youtube.com//shorts/xR55CWOOSRw,9,0,665,3/26/2025,@emilie-s7q,xR55CWOOSRw
https://www.youtube.com//shorts/w0ee8k2h78g,50,0,10000,3/26/2025,@alpechahunter,w0ee8k2h78g
https://www.youtube.com//shorts/FCMmhj-lUo8,102,0,15000,3/26/2025,@haydeeprovazek,FCMmhj-lUo8
https://www.youtube.com//shorts/wrj4poxPF34,16,0,3152,3/26/2025,@baobo-k6h,wrj4poxPF34
https://www.youtube.com//shorts/d-SB1znqqMg,85,0,15000,3/26/2025,@annunziata-y6u,d-SB1znqqMg
https://www.youtube.com//shorts/6x97mDqyvhE,214,1,15000,3/26/2025,@barmanpsicologa,6x97mDqyvhE
https://www.youtube.com//shorts/d40Zvfk4Dwo,72,0,12000,3/25/2025,@alpechahunter,d40Zvfk4Dwo
https://www.youtube.com//shorts/e0RVJdkRVwM,99,0,15000,3/25/2025,@haydeeprovazek,e0RVJdkRVwM
https://www.youtube.com//shorts/hhJ7AzM_Nvw,73,2,7744,3/25/2025,@baobo-k6h,hhJ7AzM_Nvw
https://www.youtube.com//shorts/7MVF8U0z0D0,9,0,176,3/25/2025,@annunziata-y6u,7MVF8U0z0D0
https://www.youtube.com//shorts/OfGOaK1cPwM,251,7,21000,3/25/2025,@barmanpsicologa,OfGOaK1cPwM
https://www.youtube.com//shorts/jVT6R9SMe0A,1,0,,3/24/2025,@alpechahunter,jVT6R9SMe0A
https://www.youtube.com//shorts/iYbWPZnMjhs,3,0,,3/24/2025,@haydeeprovazek,iYbWPZnMjhs
https://www.youtube.com//shorts/39zQRVqXZXU,8,0,1,3/24/2025,@baobo-k6h,39zQRVqXZXU
https://www.youtube.com//shorts/-z8z6YTUadI,4,0,,3/24/2025,@annunziata-y6u,#NAME?
https://www.youtube.com//shorts/hOOpnGna3BQ,8,0,2,3/24/2025,@barmanpsicologa,hOOpnGna3BQ
https://www.youtube.com//shorts/4q2gebPktZI,14,1,692,3/23/2025,@emilie-s7q,4q2gebPktZI
https://www.youtube.com//shorts/2YODzE681eA,18,0,2665,3/22/2025,@alpechahunter,2YODzE681eA
https://www.youtube.com//shorts/AvCR8h28puI,204,1,18000,3/22/2025,@haydeeprovazek,AvCR8h28puI
https://www.youtube.com//shorts/H9IWG4_dry4,65,4,11000,3/22/2025,@baobo-k6h,H9IWG4_dry4
https://www.youtube.com//shorts/pFpqMC6E0NA,73,1,11000,3/22/2025,@annunziata-y6u,pFpqMC6E0NA
